job_title,senior,company_name,location,employment_type,industry,company_type,company_size,hourly,daily,weekly,monthly,yearly,python,sql,excel,r,power_bi,tableau,job_description,salary
Data Engineer,0,URBIS,VIC,,Other,Private,501 - 1000,0,0,0,0,1,0,0,0,0,0,0,"Who we are:
Urbis is people focussed, and we want the best for our team, our clients, and our communities. We are a community of passionate problem solvers, sought out by clients for our fresh thinking and approach to their city-shaping projects. Our mission is to help create meaningful, sustainable cities & communities.
Urbis is an employer of choice for gender equality (EOCGE), recognised through the Workplace Gender Equality Agency (WGEA), and active participants in the Federal Career Revive Initiative which supports the attraction and retention of women returning to work after a career break.
We pride ourselves in empowering our employees and supporting them to be the best they can be. Here you will make a tangible difference and positive impact, while gaining incredible industry experience and broad ranging exposure to the most exciting work.

Urbis, Shaping futures your way!

The Opportunity
We're looking for an experienced and proactive Data Engineer to join our growing team of Data and Application specialists. You will be responsible for database maintenance but more importantly designing our data and data pipeline architecture, as well as optimizing data flow and collection within and across Urbis.
The ideal candidate is an experienced data pipeline builder and data wrangler who enjoys optimizing data systems and building them from the ground up. This role will support our software developers and data analysts on data initiatives and will ensure optimal data delivery architecture is consistent throughout Urbis. Urbis provides an exciting multi-disciplinary environment to refine your skills and grow your career.




Urbis is a market-leading built environment consultancy that shapes the cities and communities of Australia for a better future. Drawing together a network of the brightest minds, Urbis consists of practice experts, working collaboratively to deliver fresh thinking and independent advice and guidance for our cities and towns – all backed up by real, evidence-based solutions.
Why Urbis?
Urbis is a firm that truly values its people and provides a broad range of benefits which include:

To find out more about us visit our website at www.urbis.com.au/careers.

Urbis is committed to fostering a work environment that is inclusive, supports flexibility, and welcomes diversity. We are proud to be an equal opportunity employer. Aboriginal and Torres Strait Islander people are encouraged to apply.
How to Apply?
If you are an enthusiastic candidate, with the desire to become part of a driven and highly professional team, click on “Apply for this job” or email careers@urbis.com.au.
Recruitment Agencies - thank you for thinking of us. We do endeavour to fill our opportunities through direct channels wherever possible, however, if we find that we do need agency assistance, we'll be in touch.",125000.0
Data Engineer,0,Mitra Innovation Ltd,NSW,,,,,,,,,,0,0,0,0,0,0,"Mitra Innovation is an Information Technology Company passionate about helping smart entrepreneurs, enterprises, and public-sector organizations to accelerate innovative ideas into amazing global businesses or solutions. We have specialized in product incubation, digital transformation, and Cloud-to-Cloud systems integration, with expertise in product development and cloud integration technologies with the power of AI.
Job Specific Duties and Responsibilities
Design and develop reliable data pipelines and platforms, ensuring extensive test coverage, with minimal supervision
Contribute to the technical design process for system enhancements
Implement deployment strategies for CI/CD pipelines and manage releases on data platforms
Offer technical support to other team members",
Other,0,DroneShield Limited,NSW,,,Public,51 - 200,0,0,0,0,1,0,0,0,0,0,0,"Work with cutting edge technology, making the world a safer and more secure place. DroneShield (ASX:DRO) offers an opportunity to solve some of world’s most challenging technical problems in the Electronic Warfare, Artificial Intelligence and Machine Learning, RF sensing, Sensor Fusion and distributed systems. Working with high profile customers across militaries, government agencies, airports, critical infrastructure, law enforcement and many others.

With an approximately $1bn market capitalisation and having raised approximately $250m in 2024 alone, DroneShield is undergoing hypergrowth stage, fuelled by rapidly increasing use of drones for nefarious applications, from battlefield, to terrorism, to contraband delivery and commercial espionage.

This role is in the DroneShield Sydney headquarters in Pyrmont, Sydney. There are approximately 160 staff based in the 4,000sqm facility today, scheduled to grow to approximately 300 staff by end of 2026. Overseas on the ground presence includes Virginia (USA), Denmark, Germany and Dubai, as well as distributors in over 70 countries globally.",81500.0
Other,0,Accenture,VIC,,Other,Public,10000+,,,,,,0,0,0,0,0,0,"A Data Modeler will be responsible for creating and maintaining conceptual, logical and physical data models and will be creating one or more data models depending on use cases including transactional, integration, data warehouse and analytical systems.

Data modeler will have to work with the business team, comprising of stakeholders and analysts, and information technologists to understand data requirements for the program.
Perform data profiling/analysis activities that will help establish, modify, and maintain a data model.
Create conceptual data model to identify key business entities and visualize their relationships.
Create detailed logical models identifying all the entities, attributes and their relationships along with the characteristics associated with each of those.",
Other,1,Atlassian,NSW,,Technology,Public,5001 - 10000,0,0,0,0,1,0,0,0,0,0,0,"Overview:
Working at Atlassian

Atlassians can choose where they work – whether in an office, from home, or a combination of the two. That way, Atlassians have more control over supporting their family, personal goals, and other priorities. We can hire people in any country where we have a legal entity. Interviews and onboarding are conducted virtually, a part of being a distributed-first company.

As a Senior Software Engineer in the Central AI team, you will build and maintain the core infrastructure to allow machine learning engineers and data scientists to develop, train, evaluate, deploy, and operate Machine Learning models and pipelines. You will use your software development expertise to solve difficult problems, tackling complex infrastructure and architecture challenges.
Responsibilities:
Qualifications:",210000.0
Data Engineer,0,Halliburton Australia Pty Ltd,WA,,Technology,Public,10000+,0,0,0,0,1,0,0,0,0,0,0,"We are looking for the right people — people who want to innovate, achieve, grow and lead. We attract and retain the best talent by investing in our employees and empowering them to develop themselves and their careers. Experience the challenges, rewards and opportunity of working for one of the world’s largest providers of products and services to the global energy industry.
An opportunity exists for experienced Mudloggers and Data Engineers to join our Sperry Drilling team. The industry is fast paced and dynamic and requires applicants that are willing to work as and when required in response to customer operations.
Roles and responsibilities:
Activities related to mud-logging, data collection and reporting and gas system operations.
Promotes safety awareness and environmental consciousness and complies with all applicable safety and environmental procedures and regulations.",70000.0
Data Scientist,0,PWC Australia,WA,,Finance,Private,5001 - 10000,0,0,0,0,1,0,0,0,0,0,0,"Flexible work options - work smarter in a way that suits your lifestyle.
26 weeks paid parental leave - for mum, dad & foster carers.
Opportunities available in Sydney, Adelaide, Brisbane and Melbourne.
Looking for an exciting, diverse and challenging new role with a global impact? Join a modern technology team in Australia's largest professional services firm that delivers cutting-edge digital products and AI solutions.
The Opportunity
At PwC, we help Australian businesses, not-for-profits create value and improve the way they work. From improving healthcare, to creating smarter cities and igniting Australia’s start up industry, you’ll build trust in society and solve important problems.
The AI team is a group of highly experienced designers, developers, data scientists and analysts who are responsible for delivering digital products and AI solutions to PwC’s business across multiple LoS in Australia.",125500.0
Data Analyst,0,Retro Arcade Solutions,Other,,,,,1,0,0,0,0,0,0,0,0,0,0,"Retro Arcade Solutions is a trailblazer in the arcade and gaming industry, dedicated to bringing classic arcade games and modern gaming solutions to enthusiasts and businesses. Our mission is to blend nostalgia with innovation, creating engaging and dynamic gaming experiences for all.
Position Overview: We are looking for a skilled Data Analyst to join our team and help us harness the power of data to drive strategic decisions and optimize our gaming solutions. As a Data Analyst at Retro Arcade Solutions, you will analyze complex datasets, provide actionable insights, and support various departments in achieving our business goals.
Key Responsibilities:
Analyze and interpret large datasets to identify trends, patterns, and actionable insights.
Create and maintain interactive dashboards and reports to monitor key performance indicators (KPIs) and track business performance.",80502.24
Data Engineer,0,Visuna,,,,Private,51 - 200,,,,,,0,0,0,0,0,0,"Job Reference: 200440

Upstream
Start Date: 10/09/2024
Applications close on: 01/10/2024
Contract Type: Contract
Country: Australia
Discipline: Mud Logger
Minimum Experience: 2 Years+
Job Contact: christine.reid@visuna.com
Mudlogging Data Engineers",
Data Scientist,0,Swinburne University of Technology,VIC,,Other,University,1001 - 5000,0,0,0,0,1,0,0,0,0,0,0,"We have an exciting opportunity for an Astronomy Data Science and HPC Support to join a team that values and celebrates diversity.

This role will provide software and hardware support for astronomy-focused high-performance computing (HPC) and data science programs at Swinburne University. This includes supporting Astronomy Data and Computing Services (ADACS), the Gravitational Wave Data Centre (GWDC), and the OzSTAR supercomputing environment. ADACS, supported by Astronomy Australia Limited (AAL), aims to enhance astronomers' scientific output through training, software services, and improved resource access.

It involves contributing to software and infrastructure projects, software engineering and testing, HPC system administration, research, and development. The appointee must collaborate with various teams, including Swinburne Information Technology Services and the astronomy research community. The position is based at Swinburne University, known for its expertise in supercomputing and astronomical research.


To be suitable for this role you will need to have experience in the below key accountabilities:


For more information on this role, pleaser refer to the job description




Swinburne Horizon 2025 draws upon our understanding of future challenges. With this new strategic plan, we choose to build Swinburne as the prototype of a new and different university – one that is truly of Technology, of Innovation and of Entrepreneurship, and proud of it. We are committed to a differentiated university proposition in education and research, so that:


The achievement of our 2025 moon shots depends on our capacity to work collectively, always, as One Swinburne.


Please submit your CV and cover letter addressing your suitability for this position.

To review the Position Description and to apply, please scroll down to the bottom of the page.

If you are viewing this advert from an external site, please click ‘apply’ and you will be redirected to Swinburne’s Jobs website to access the Position Description at the bottom of the page.



If you are experiencing technical difficulties with your application, please contact the Swinburne Talent Acquisition Team on staffrecruitment@swin.edu.au.



Swinburne offers flexible working options contained in our leave and parenting/carer policies to support work-life balance.


Swinburne University of Technology is dedicated to creating a varied, welcoming, and open learning and work environment that embraces diversity, promotes inclusion, ensures fair access to opportunities, and actively opposes bullying, discrimination, sexual harm, victimisation, and vilification. We appreciate every individual in our community, regardless of ability/disability, age, cultural and ethnic background, sex, sexual orientation, gender identity and expression, and family and relationship status. For further details on our efforts, please explore our Equity & Diversity website.


Swinburne University of Technology actively supports and encourages individuals with disability to apply. We provide reasonable adjustments throughout the recruitment and selection process by ensuring that we cater to the access and participation needs of all candidates.

For a confidential discussion regarding accessibility requirements, or to provide feedback on how we can continue to improve our recruitment processes to better accommodate adjustments you require, please reach out to staffrecruitment@swin.edu.au or call Eve at +61 3 9214 3410 .


Swinburne is enhancing gender equity and diversity, with a focus on science, technology, engineering, maths and medicine (STEMM), by participating in the Science in Australia Gender Equity (SAGE) program.

Swinburne University is actively engaged in improving representation and participation of women in STEMM fields, aiming to address ongoing gender inequity. As an inaugural recipient of the Athena SWAN Institutional Bronze Award, we have implemented our original SAGE Action Plan (2019-2021) and continue our commitment through the current SAGE Action Plan (2022-2025), focusing on meaningful actions to foster long-lasting change and advance gender equity and diversity in STEMM.


We welcome and strongly encourage applications from Aboriginal and Torres Strait Islander people.

For any support please contact DeadlyCareers@swin.edu.au or for more information on our Indigenous strategies please follow the link to our RAP Reconciliation Action Plan.

Improving international student employment outcomes. As a signatory to Victoria’s Commitment to Action, Swinburne seeks to remove barriers to international graduate employment. We welcome and encourage applications from international graduates.



#LI-SW",74000.0
Data Analyst,0,Bupa,VIC,,Other,Private,10000+,,,,,,0,0,0,0,0,0,"Opportunity snapshot:
An exciting, Permanent opportunity has become available for a Data Analyst
The Data Analyst will be responsible for analyzing data to identify patterns and trends that can inform business decisions. They will work closely with the business to collect, clean, and transform data, develop analytical models, and communicate findings to stakeholders. The successful candidate will have strong analytical skills, be comfortable working with data, and have a desire to learn and grow in the field of data analytics.
How will I help?
Working with the business to collect, clean, and transform data for analysis
Assist in the development and execution of statistical analyses and data models
Conduct data quality checks to ensure accuracy and completeness of data",
Data Scientist,0,Pearson,NSW,,Other,Public,10000+,0,0,0,0,1,0,0,0,0,0,0,"About the role: Reporting to the Lead Data Scientist, you will support the development and delivery of data science models. You will play a key role in maintaining high standards of data quality and model validation. Additionally, you will contribute to extending and refining existing data pipelines by integrating additional analytics and models
Our Team: Workforce Skills – We provide upskilling and reskilling that ensures people can thrive in a digital, automated future. Faethm is a SaaS platform that uses artificial intelligence to help prepare people for the future of work and was acquired by Pearson in 2021. Workforce Skills is the newest division at Pearson with ambitious and exciting plans for growth.
As a Data Scientist you will be responsible for:
Advanced Analytical Implementation: Implement analytical techniques and methods to discover data patterns, develop classification, prediction, and optimization models, and drive business outcomes.",161000.0
Data Analyst,0,The KPI Institute,VIC,,Finance,Private,1 - 50,0,0,0,0,1,0,0,0,0,0,0,"The Data Analyst will work in a team specialized dedicated to the Center for Data Analysis, Visualization and Analytics, operated by The KPI Institute. The employee is responsible for developing toolkits, templates and user guides for different data management tools.

Your main responsibilities include:

Research and be aware of latest practices and tools used by organizations in data analysis and visualization;
Online research on given topics of interest for the Center;
Centralize and organize information (qualitative or quantitative data);
Write research conclusions and present them in a format that eases reader’s understanding and supports decision making;",99500.0
Data Scientist,0,Pyramid Global Technologies,WA,,,Private,201 - 500,0,0,0,0,1,1,1,0,0,0,0,"About the job Data Scientist
Job Description ﻿Data Scientist in Perth:
Required Technical Skill Set - Python, R, SQL, shell scripting,, GitHub/SVN, Teamcity or continuous integration tools, Exposure to AWS.

Ability to work as part of a multidisciplinary team and develop and maintain relationships with internal and external stakeholders.

Assist in the management of sprints and product backlog in an Agile environment.

Understanding in applying machine learning, deep learning, artificial intelligence, and/or advanced optimization algorithms.

Exposure in Developing data science projects which includes scoping, building, testing, implementation, maintenance, tracking and optimisation of models.

Understanding of Techniques such as Time Series analytics, Regression, Confidence Interval, Bayesian and Monte Carlo methods, Chi-square distribution",119500.0
Data Analyst,0,Showtime Consulting,Other,,,Self-employed,51 - 200,0,0,0,0,1,0,1,0,0,0,0,"Canberra \ Remote
Firm Requirements
Must be an Australian Citizen and have a Baseline clearance or be able to obtain a Baseline clearance
Essential Skills
Developing new data and analytics products with the Development team and implementing BAU requests and new optimisations.
Technical skills
Azure
Azure SQL
DWH",82000.0
Data Analyst,0,HAYS,NSW,,Other,Private,5001 - 10000,,,,,,0,0,0,0,0,0,"Exciting 2-Year Contract Opportunity for skilled Data Analysts!
Your new company
Weare seeking a skilled and motivated Data Analyst to join our client for a 2-yearContract engagement, focusing on the implementation of an Enterprise Resource Planning(ERP) system. This role is integral to ensuring the successful integration andoptimisation of data systems, supporting various departments within this government organisation.
Your new role
As the Data Analyst, you will work closely with the Data Architect and will assist in the development of data integration solutions and design and develop ETL (Extract, Transform, Load) frameworks to streamline data processing. You are responsible for the creation and maintenance of reports, ensuring accessibility and availability to the business. You will leverage tools such as PowerBI to analyse and visualise data and provide thorough documentation. Working closely with the project team, you will be tasked with resolving data-related issues.


Join us in this exciting opportunity to contribute to the successful implementation of our client's ERP system and make a meaningful impact on the broader community. You will work in a supportive environment with opportunities for professional growth and development. Our client values the importance of collaboration in order to ensure the successful implementation of this program of work. While they are open to flexible arrangements, the preference will be for the successful candidates to work predominantly on site.

If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV, or email kira.bauske@hays.com.au. If this job isn't quite right for you, but you are looking for a new position, please contact us for a confidential discussion about your career.
#2877314",
Other,0,Openmesh Network,,,Technology,NPO,,,,,,,0,0,0,0,0,0,"We are inviting selected students (BA, MS) in Data Science to be part of pioneering the cloud, data, AI and web3 space. You will have the opportunity to contribute to the development of one of the world's first large-scale open data clouds and analytics engines. Openmesh is a dedicated global initiative that brings together brilliant minds in the tech industry to create open data and open infrastructures that will be pivotal in shaping the next 10-20 years.
This internship can be used for your 400 hours of industry experience (PEP 40). This is a 2-12 weeks paid internship to begin soon. The role will take place in our Sydney George St. Office. Unlock your career potential by working with a world class team, opportunity for permanent job placements, competitive salaries, and exciting cash prize competitions!
About Openmesh and Xnode
Today a handful of corporations control 90% of the world's data and IT infrastructure and we are expected to trust them. This is not just bad for business; it's bad for everyone. Information asymmetry has led to social inequality, scandals, polarization, and corruption. Sometimes, it has even led to war. Centralized data control acts as a potential chokepoint for innovation, raises privacy concerns, and creates a bottleneck for the free flow of data.
Leverage this paid internship opportunity to fulfill your PEP 40H industry experience requirement.",
Data Engineer,0,Showtime Consulting,Other,,,Self-employed,51 - 200,0,0,0,0,1,0,1,0,0,0,0,"Canberra \ Remote
Firm Requirements
Must be an Australian Citizen and have a Baseline clearance or be able to obtain a Baseline clearance
Essential Skills
Translating business requirements into technical specifications, including data streams, integrations, transformations, databases, and data warehouses. Defining the data architecture framework.
Technical skills
Azure
Azure SQL
DWH",96000.0
Data Analyst,0,CSIRO,WA,,Government,Government,5001 - 10000,0,0,0,0,1,0,0,0,0,0,0,"Acknowledgement of Country
CSIRO acknowledges the Traditional Owners of the land, sea and waters, of the area that we live and work on across Australia. We acknowledge their continuing connection to their culture and pay our respects to their Elders past and present. View our vision towards reconciliation
Child safety
CSIRO is committed to the safety and wellbeing of all children and young people involved in our activities and programs. View our Child Safe Policy.
The opportunity
The SKA Observatory (SKAO) is a next-generation radio astronomy facility that will revolutionise our understanding of the Universe and the laws of fundamental physics. Enabled by cutting-edge technology, it promises to have a major impact on society, in science and beyond.",99500.0
Data Analyst,0,Hapana,NSW,,Technology,Private,51 - 200,0,0,0,0,1,0,0,0,0,0,0,"About Hapana
Hapana is a rapidly growing software solution within the fitness industry, revolutionising the operations of multisite boutique businesses like F45, Gold's Gym, BFT, STRONG Pilates, Vive Active, KX Pilates, and more. Our dedication to enhancing member experiences, coupled with unparalleled support, has earned us a reputation that spans over 17 countries.
We're committed to fostering growth for our teams and clients through innovation and teamwork. Our business prides itself on its fast growth and dynamic industry, so we require humans with a vision to work with our small but mighty team. As a global company, we rely on open communication and people speaking up. Bring ideas, passion, and creativity to the role, and you'll fit right in.
Job Summary
We are seeking a talented Data Analyst to join our team. In this role, you will analyse complex datasets from multiple sources, including internal systems and third-party integrations, to provide actionable insights that drive business decisions. You will work closely with our product, engineering, and customer success teams to ensure that data is effectively utilised across the organisation",115000.0
Data Analyst,0,Australian Communications and Media Authority,Other,,Government,Government,51 - 200,0,0,0,0,1,0,0,0,0,1,0,"We are looking for passionate and experienced Data Analysts to join the team working across the organisation to help uplift our data capabilities and assist busy data stewards with delivering data analytics and reporting outcomes.
As a data analyst within the team you will review data to identify key insights into our business and ways the data can be used to identify trends and solve problems. The candidate will be comfortable working with structured and unstructured data, in an environment with maturing data systems and a newly established data warehouse. They will enjoy the opportunity to work in an evolving environment and help shape our approach, finding fulfilment in helping support data stewards across the whole organisation in delivering optimised, reliable and reusable dashboards and reports.
This work includes playing a key role in progressing the team's digital dashboard roadmap using Power BI and helping respond to and remediate identified data quality issues.",86000.0
