,Job Title,Company Name,Location,Work Model,Employment Type,Industry,Company Type,Company Size,Job Description,Salary
10,Junior Data Analyst - REMOTE,Staffing Technologies,"East Perth, Western Australia, Australia",missing,Part-time,Staffing and Recruiting,Privately Held,201-500 employees,"This is a part-time Junior Data Analyst role that is focused on remote work, but may also include on-site work located in Melbourne, VIC. Daily tasks will include analyzing and interpreting complex data sets, generating reports and visualizations to communicate insights and trends, and working closely with cross-functional teams to drive data-informed decision-making.",£14.10/hr - £28.10/hr
11,Data Analysis Officer,Queensland Government,"Brisbane, Queensland, Australia",missing,Temporary,Government Administration,Government Agency,"10,001+ employees","The role of Data Analysis Officer sits within the Coronial Services Practice Prevention and Reform (PPR) team in CCQ together with an AO6 Senior Data Analyst role. The Data Analysis Officer is responsible for completing data-related activities to provide analysis and reporting information that supports evidence-based decision making and planning. The role will work closely with both PPR and operational staff within CCQ, to contribute to the effective development of system and operational reforms.

The role requires a high aptitude for assessing data quality and experience with using complex client management systems. Proficiency with Excel, and the ability to quickly acquire proficiency with Power BI, to extract, query, and display data is essential for the role.

The role reports directly to the Manager, Coronial Services Practice and Reform.






In this role you will be exposed to traumatic material by investigating, witnessing, or being exposed to traumatic events. This may include reading, hearing, or seeing accounts, photos, videos and other material related to traumatic events. The material may be unexpected, confronting, explicit, distressing, and/or offensive. We have a range of physical and psychosocial safety controls in place for all DJAG workplaces, including strategies to manage the risk of workers being exposed to traumatic events, material and/or vicarious trauma. We also support employees who are impacted by their work.

Applications to remain current for 12 months.

Justice & Legal",missing
12,Data Analyst,LTIMindtree,"Perth, Western Australia, Australia",missing,Full-time,IT Services and IT Consulting,Public Company,"10,001+ employees","LTIMindtree is a global technology consulting and digital solutions company that enables enterprises across industries to reimagine business models, accelerate innovation, and maximize growth by harnessing digital technologies. As a digital transformation partner to more than 750 clients, LTIMindtree brings extensive domain and technology expertise to help drive superior competitive differentiation, customer experiences, and business outcomes in a converging world. Powered by nearly 90,000 talented and entrepreneurial professionals across more than 30 countries, LTIMindtree — a Larsen & Toubro Group company — combines the industry-acclaimed strengths of erstwhile Larsen and Toubro Infotech and Mindtree in solving the most complex business challenges and delivering transformation at scale. For more information, please visit www.ltimindtree.com",missing
13,Data Scientist,Montu,Australia,missing,Full-time,Pharmaceutical Manufacturing,Privately Held,201-500 employees,"Company Description

Montu is one of Australia's leading health tech businesses and a leader in alternative health services. With operations in Australia and Europe, we take a technology-first approach to reshaping the landscape for suppliers, practitioners, pharmacies and patients.",missing
14,Data Analyst,Talent Disruptors,"Canberra, Australian Capital Territory, Australia",missing,Full-time,Staffing and Recruiting,Privately Held,2-10 employees,"We are on the lookout for a Data Analyst with a specialization in marketing analytics. In this critical role, you will harness the power of tools like Google Data Studio, BigQuery, and Power BI to derive actionable insights that drive our marketing decisions. Your expertise in analyzing complex datasets and turning them into understandable and strategic information will be essential in shaping our marketing strategies. This position is ideal for someone who thrives on data-driven challenges and has a passion for leveraging technology to inform business decisions.





Who You Are",missing
15,Data Entry Officer,Workforce Australia for Individuals,"Broadmeadow, New South Wales, Australia",missing,Full-time,Government Administration,Government Agency,1 employee,"Randstad, in collaboration with the NSW Electoral Commission, is seeking a proficient Data Entry Officer to join our team for the Local Government Elections .

About The Role:

We are currently seeking detail-oriented and motivated individuals to join our team as Data Entry Officers. The Data Entry Officers will play a crucial role in accurately entering preferences from ballot papers into the NSWEC computerised vote counting program and assisting in the reconciliation of data entry ballot papers under the authorisation of the Data Entry Supervisor. ...

Randstad, in collaboration with the NSW Electoral Commission, is seeking a proficient Data Entry Officer to join our team for the Local Government Elections .



We are currently seeking detail-oriented and motivated individuals to join our team as Data Entry Officers. The Data Entry Officers will play a crucial role in accurately entering",missing
16,Quantitative Researcher Intern,Farrer Capital Management,"Melbourne, Victoria, Australia",missing,Full-time,Investment Management,Privately Held,2-10 employees,"About Us

Farrer Capital is a rapidly expanding global commodities hedge fund, dedicated to serving institutional clients by providing market leading results.

Our goal is to produce exceptional returns facilitated by an investment research process that leverages our domain expertise across global commodity markets, supply and demand analysis and a novel AI approach.

At Farrer Capital, we foster a culture of learning and collaboration among the world's most talented investment professionals, researchers, and engineers. We're a fully distributed, remote-first company, with our growing team located across North and South America, Australia, and Europe.

We empower our team to experiment with their ideas and create commercial solutions that propel their growth and make a real impact.



We are seeking a select group of highly talented interns to join our team in the development of advanced quantitative research for financial markets. Interns will apply sophisticated and complex statistical techniques to analyse market data and identify trends. You will work in small, highly collaborative teams, contributing to cutting-edge financial research projects.















We believe that diversity is critical to our success. We will not discriminate on the basis of race, religion, national origin, gender identity or expression, sexual orientation, age, or marital, veteran, or disability status.",missing
17,Data Entry - Typist Part-Time - Remote,Staffing Technologies,"Queens Domain, Tasmania, Australia",missing,Part-time,Staffing and Recruiting,Privately Held,201-500 employees,"We are seeking a detail-oriented and efficient Data Entry - Typist to join our team on a part-time, remote basis. The ideal candidate will have excellent typing skills, strong attention to detail, and the ability to work independently. As a Data Entry - Typist, you will be responsible for accurately inputting data into our system and maintaining the integrity of information. This role is vital in ensuring the smooth operation of our agriculture fishing & forestry organization.



Proficient typing skills with high accuracy

Excellent attention to detail

Strong organizational skills

Ability to work independently and meet deadlines

Basic knowledge of computer software (MS Office Suite)

Familiarity with data entry tools and techniques

Good communication skills



Enter data from various sources into our system accurately and efficiently

Verify accuracy of entered information by reviewing, correcting, deleting or re-entering data as necessary

Maintain confidentiality regarding all sensitive information handled during the process

Organize files, records, and documents for easy retrieval as needed

Assist in other administrative tasks as assigned



A minimum of a high school diploma or equivalent qualification is required.

Prior experience in data entry is preferred but not mandatory.

Demonstrated ability to work with speed while maintaining accuracy.

Familiarity with agriculture fishing & forestry industry terminology would be an advantage.

Must have access to reliable internet connection.",£14.10/hr - £28.10/hr
18,Data Scientist & Mathematician,Workforce Australia for Individuals,"Sydney, New South Wales, Australia",missing,Full-time,Government Administration,Government Agency,1 employee,"Seeking a mathematician with expertise in Python/R for an academic candidate with exceptional university results

Your New Organisation

We are seeking a highly academic data scientist with mathematical pedigree from a leading university to work in a small firm with offices across Australia, Europe, and Asia.

The company is made up of mathematicians, statisticians and software engineers who are incredibly delivery focused, working with huge data sets for their clients. The team is dedicated to rewarding hard work and innovative ideas, focusing on algorithmic trading.



Working with Senior Mathematicians in the Sydney office, we are seeking a recent graduate or professional with a couple of years' experience in data science. The ideal candidate will have a degree in Maths, Data Analytics, Engineering, Actuarial or Physics.

Large sets of legacy data are cleansed and structured overseas and then shipped to Sydney where you will be working on building models and predictive analytics. Data cleansing, introducing factors and regression modelling will be part of the role, and you will ideally have experience extracting large data sets and working closely with programmers.







To find out more about this opportunity, please contact Marcus Castle using the details below:

T: 02 9249 2285

E: marcus.castle@hays.com.au

Please click here to apply.",missing
19,Risk Analyst,TMGM,"Sydney, New South Wales, Australia",missing,Full-time,Financial Services,Privately Held,"501-1,000 employees","About TMGM

TMGM stands at the forefront of online trading and investment services, proudly serving as Chelsea FC's Official Regional Online Forex and Trading Partner in Asia Pacific. With a global presence and offices spanning three continents, TMGM has earned its reputation as a trusted CFD trading provider. We embody excellence through a commitment to regulatory compliance, technological innovation, and unparalleled customer service.

At TMGM, our vision goes beyond providing a platform for trading; we aspire to empower our clients with the best trading conditions. We leverage industry-leading and cutting-edge innovative platforms to ensure that your trading experience is nothing short of exceptional. Our relentless commitment to research and development continually pushes the boundaries of liquidity and usability, giving you the tools you need to thrive in an ever-evolving financial landscape.



As a Risk Analyst, you will gain first-hand knowledge and exposure to the inner workings of financial markets. This role offers a unique opportunity to develop and refine your skills in a fast-paced and supportive environment. We are seeking motivated individuals who are eager to learn, possess strong attention to detail, and have a keen interest in finance. Your numerical and analytical skills will be crucial in assessing and managing financial risks, contributing to the success and stability of our operations.",missing
20,Jr Data Entry Clerk / Full Time (Remote),Staffing Technologies,"Carlton, Victoria, Australia",missing,Full-time,Staffing and Recruiting,Privately Held,201-500 employees,"Are you a detail-oriented individual with a passion for accuracy and organization? Do you thrive in a remote work environment where you can demonstrate your data entry skills and contribute to the success of a dynamic team? If so, we have an exciting opportunity for you to join our company as a Remote Data Entry Clerk!

We believe in the power of data and its impact on decision-making. As a Remote Data Entry Clerk, you will play a crucial role in ensuring the integrity and accuracy of our data, enabling us to deliver exceptional services to our clients. This entry-level position offers a flexible work schedule and the opportunity to work remotely, giving you the freedom to achieve work-life balance.",£25.00/hr - £50.00/hr
21,Undergraduate,John Holland,"Torbanlea, Queensland, Australia",missing,Full-time,Construction,Privately Held,"5,001-10,000 employees","About John Holland

At John Holland, our purpose is simple – we transform lives with everything we do.

We’ve always known that infrastructure is about people — our customers, our employees, and the communities in which we work every day.

That’s our difference. Deep experience and capability with a genuine care about creating better lives for people along the way.

Be part of the team that’s up for the challenge of transforming lives for good.



John Holland is proud to be partnering with Downer Group and the Queensland Government to support a new era of train manufacturing through the state-shaping Queensland Train Manufacturing Program.

We are currently accepting applications from 3rd or 4th year students who are currently studying to join the team in as our.

We Are Ready To Hit The Ground Running With This Position Set To Start ASAP And To Ensure Your Success We Offer The Following









Your success is reflected in ours, so we’re committed to being an employer of choice. We pride ourselves on having a diverse and inclusive workplace, as we understand that different perspectives and ideas are critical to our long-term success.

We want you to be with us for the long term, so providing you with rich career experiences and ongoing development is our priority.



We’re about connecting your sense of purpose to ours. We understand that your career is one of the biggest ways to have an impact on the world. We also believe in supporting you as a whole person, not just an employee.



underpinned by our exciting pipeline of work means you’ll have the opportunity to work on iconic projects that are shaping cities and communities.

where you’ll have access to emerging talent programs, building your career through clear career pathways, plus technical and leadership training and development opportunities.

is part of how we work. We want everyone at John Holland to feel that they belong – that’s why we’re working hard every day to foster a more inclusive culture, backed by a business-wide inclusion strategy to bring about meaningful change. We’ve also got active employee resource groups that support our commitments including those around gender equality and reconciliation.",missing
22,Data Management Officer - Business Intelligence Solutions,Queensland Government,"Brisbane, Queensland, Australia",missing,Full-time,Government Administration,Government Agency,"10,001+ employees","The Business Intelligence Solutions team within Performance Monitoring and Reporting is seeking a Data Management Officer for a permanent full-time position, join their team. As the Data Management Officer, you will be administrating information systems including the department's Centre Information System (CIS), Schools Directory, Corporate Phone Directory, and the branch's Performance Analysis and Reporting Systems (PARS). You will provide system advice and technical support to users and liaise with I&T teams on technical requirements, systems development and maintenance.



The Department of Education is dedicated to building an inclusive and diverse workforce that reflects the community and schools we support by treating everyone with respect and dignity. This starts with recruitment and selection. The methods of assessing suitability in the recruitment process may vary. This includes making reasonable adjustments to support applicants at all stages of the process and employee lifecycle.



Responsibilities include, but not limited to;




The ideal candidate will demonstrate well-developed systems administration skills, have the capability to communicate with influence and support productive working relationships with stakeholders, partners and customers.








We welcome all applicants to share any support needed to ensure our recruitment process is inclusive.

Applications remain current for 12 months from the closing date and may be considered for appointment to identical or similar vacancies within the Department.

Applications from recruitment agencies will not be accepted.

When working in regulated employment an employee must have a current Working with Children Clearance (blue card) issued by Blue Card Services.

Salary rate shown is reflective of full-time (1.0 FTE).

The Department of Education is a family inclusive workplace.  Click here to find out more about our Inclusion and Diversity strategies.

IT & Telecommunications",missing
23,Remote Work From Home Data Entry Clerk / Typing,AllStaff Staffing & Recruiting,"Carlton, Victoria, Australia",missing,Full-time,Staffing and Recruiting,Privately Held,201-500 employees,"We are seeking a highly organized and detail-oriented individual to join our team as a Data Entry clerk. As a Data Entry clerk, you will play a crucial role in maintaining accurate and up-to-date records of our company's data. This position requires a strong attention to detail, excellent typing skills, and the ability to work efficiently under tight deadlines.



Inputting and updating data into our company's database system

Verifying and correcting any discrepancies in data entries

Conducting regular data audits to ensure accuracy and completeness of records

Generating reports and extracting data as requested by team members

Collaborating with other teams to ensure seamless data flow across departments

Assisting with data cleaning and data validation processes

Maintaining the confidentiality and security of sensitive information



High school diploma or equivalent

Proficient typing skills and strong attention to detail

Strong computer skills, including knowledge of Microsoft Office Suite

Excellent organizational and time management skills

Ability to work independently and efficiently

Strong problem-solving and analytical skills

Excellent communication and teamwork skills",£14.10/hr - £28.10/hr
24,Junior Data Analyst,Realm Investment House,"Melbourne, Victoria, Australia",missing,Full-time,Investment Management,Privately Held,11-50 employees,"Junior Data Analyst

Realm Investment House, a leading boutique Australian Fixed Income Manager, is seeking an ambitious and detail-oriented Junior Data Analyst to join our dynamic team. Based at our Melbourne office at 500 Collins Street, this is a fantastic opportunity to develop your career in data analysis within the finance industry.",missing
25,Data Entry - Typist Part-Time - Work Online - Remote,Staffing Technologies,"Russell, Australian Capital Territory, Australia",missing,Part-time,Staffing and Recruiting,Privately Held,201-500 employees,"Working in the Data Entry field is a great way to supplement your income. Looking for both full-time, and part-time employees to work from home.

Qualifications

Must be able type with accuracy.

Computer Skills including internet, e-mail, e-mail attachments, downloading and uploading files.

Ensure that projects stay on schedule with the ability to manage multiple projects simultaneously.

Relies on experience and judgment to plan and accomplish assigned goals.

Ability to work independently.



Home Computer

Stable Internet Connection



Data Entry",£14.10/hr - £28.10/hr
26,Business Data Analyst,CoTalent,"Sydney, New South Wales, Australia",missing,Contract,Staffing and Recruiting,Privately Held,11-50 employees,"About the Company
A top-class financial services client working across multiple payment projects, going through exciting growth periods working on challenging and exciting project work.",missing
27,Data Entry Clerk (Remote),GatedTalent - Connecting Top Executive Search Firms And Executives,Australia,missing,Full-time,Staffing and Recruiting,Public Company,51-200 employees,"As a Data Entry Clerk, you will play a crucial role in maintaining the integrity of our operations. Your primary responsibility will be to accurately and efficiently input data from various forms related to drug test results into our system.

Responsibilities











#TLT

#TLT",missing
28,Product Manager,KPMG Australia,"Sydney, New South Wales, Australia",missing,Full-time,Business Consulting and Services,Partnership,"5,001-10,000 employees","Job Description

Our Connected Technology Group (CTG) defines and drives the digital, data and technology strategy for KPMG. We have an important advocacy role for technology in the market and across KPMG, working with our technology leaders to build our market presence. We cultivate collaboration and integrate tech execution across our business, driving a firmwide approach to how we go-to-market and build the capability of our people and attract new talent.",missing
29,Data Entry Operator / Entry level (Remote),Staffing Technologies,"Queens Domain, Tasmania, Australia",missing,Part-time,Staffing and Recruiting,Privately Held,201-500 employees,"We are seeking a detail-oriented and efficient Data Entry Operator / Entry level (Remote) to join our team on a part-time, remote basis. The ideal candidate will have excellent typing skills, strong attention to detail, and the ability to work independently. As a Data Entry Operator / Entry level (Remote) you will be responsible for accurately inputting data into our system and maintaining the integrity of information. This role is vital in ensuring the smooth operation of our agriculture fishing & forestry organization.",£14.10/hr - £28.10/hr
30,Data & Power BI Analyst,Pilbara Minerals Limited,"Marble Bar, Western Australia, Australia",missing,Full-time,Mining,Public Company,51-200 employees,"Great People, Great Company, Great Future.

We’re a great Australian success story, having rapidly grown to become a major player in the global lithium market. Our Pilgangoora Operation is one of the largest, hard-rock lithium operations in the world.



Reporting to the Group Manager of Digital Technology, the Data and Power BI Analyst is responsible for maintaining, analysing, and visualising data across the organisation, ensuring data quality and accurate reporting. The analyst uses existing processes to maintain, analyse, and visualise data stored in databases, data warehouses, file geodatabases, spreadsheets, and flat files.

The role will provide quality assurance for dashboards and reports created using Power BI and other analytical tools. It contributes to continuously improving business processes, data design, and data use in analyses and visualisations. The position also requires maintaining the accuracy of company applications and system integration to ensure efficient data flow and high data quality for accurate reporting and BI purposes. The Data & Power BI Analyst is responsible for data discovery, analysis, and ETL processes to ensure data quality and integrity is maintained from source systems to the reporting data warehouse. The role requires close collaboration with business, vendors, and other technical personnel on the team to deliver fit-for-purpose data management, warehousing, analytics, and reporting.

The permanent role will be split between our West Perth Corporate office and Pilgangoora Operation site (4:3, 4:3, 5:2).

Key responsibilities include but are not limited to:

















Pilbara Minerals recognises that talented people come from diverse backgrounds, who can contribute to our successes in different ways. We are an Equal Opportunity Employer and strongly recommend women and Australian indigenous people to apply.



As part of our recruitment process, we require proof of eligibility to work in Australia, reference checks, a pre-employment medical, drug and alcohol screen and a National Police Clearance.





Pilbara Minerals respectfully acknowledges the Nyamal and Kariyarra People of the Pilbara, and the Whadjuk Noongar People of the Perth region who are the traditional owners and first people of these lands. We would like to pay respect to the Elders past, present and emerging for they hold the memories, the traditions, the culture and hopes of the Nyamal, Kariyarra and Whadjuk Noongar Peoples.

If you are interested in learning more about Pilbara Minerals or registering for future opportunities, please visit our website www.pilbaraminerals.com.au",missing
31,Remote Data Entry Operator Full & Part Time - ENTRY LEVEL,Staffing Technologies,"East Perth, Western Australia, Australia",missing,Part-time,Staffing and Recruiting,Privately Held,201-500 employees,Are you a detail-oriented individual with a passion for organizing information? Are you looking to kickstart your career in data entry and work remotely? We have an exciting opportunity for you! Join our team as a Remote Entry Level Data Entry Operator and become an integral part of our organization.,£14.10/hr - £28.10/hr
32,Data Entry Operator ( REMOTE ),Staffing Technologies,"Sydney, New South Wales, Australia",missing,Full-time,Staffing and Recruiting,Privately Held,201-500 employees,"We are seeking a detail-oriented data entry operator to compile, capture, and maintain our digital database. As a data entry operator, you will be required to compile, merge, and format documents for data entry, check documents for errors, input data and update the database, and manage the digital filing systems.

To be a successful data entry operator, you should possess excellent typing skills and be attentive to detail.",£14.10/hr - £28.10/hr
33,Data Specialist,ROLLER,"Melbourne, Victoria, Australia",missing,Full-time,Software Development,Privately Held,51-200 employees,"About ROLLER

ROLLER is not your average software-as-a-service company. With a global presence in over 30 countries, we're here to bring some excitement to the leisure and attractions industry and make a difference! Our mission is to help businesses operate smoothly and create fun and memorable guest experiences by providing seamless ticketing, point-of-sale, self-serve kiosks, memberships and digital waiver processes.

But here's the best part: our team. We're a group of 160+ highly passionate, enthusiastic, and down-to-earth professionals located all around the world who are all working together to build something truly remarkable. We're aiming high and believe that the possibilities are endless. As we continue to grow globally, we're excited to write our success story and have fun along the way.

We genuinely love what we do, and we're looking for like-minded people to join us on this amazing journey. If you're ready to be part of a dynamic team and make a real impact, come aboard, and let's create some unforgettable experiences together at ROLLER!



Are you passionate about leveraging data to drive impactful business decisions? Do you thrive in a high-growth, dynamic environment where your contributions directly influence success? Join ROLLER as a Data Specialist on our Payments team, where you'll collaborate closely with teams across ROLLER to ensure teams have the models, data products, and insights necessary for data-driven decision making. As our first Data Specialist, this role offers the unique opportunity to work closely with various data sources and a range of reports, all while collaborating with cross-functional teams to solve complex problems and drive our data-driven culture forward.

You'll be responsible for creating scalable data pipelines, dashboards, and reports that drive the business forward, while also providing actionable recommendations through clear and compelling data storytelling.

What You'll Do







Perks!



What You Can Expect",missing
34,Data Science Analyst ? Intermediate Level,Workforce Australia for Individuals,"Sydney, New South Wales, Australia",missing,Part-time,Government Administration,Government Agency,1 employee,"Posted: 19/08/

01/09/

Job Type: Contract

Location: Sydney

Job Category: Banking and Financial Services

With over $70B in funds under management, CSC has provided superannuation services to employees of the Australian Government and members of the Australian Defence Force for over 100 years. We are proud to serve those who serve Australia.



Every day, CSC makes a real difference by guiding our customers to make the right choices, and to feel confident about their financial wellbeing. Through our world-leading investment strategies, we are always growing and improving. That means creating an environment where each and every one of us has the opportunity to strive together for excellence.





We are seeking an engaging and enthusiastic Data Science",missing
35,Data Entry - Work From Home (Entry Level),Staffing Technologies,"Woolner, Northern Territory, Australia",missing,Part-time,Staffing and Recruiting,Privately Held,201-500 employees,"We are seeking a detail-oriented and efficient Data Entry - Work From Home (Entry Level) to join our team on a part-time, remote basis. The ideal candidate will have excellent typing skills, strong attention to detail, and the ability to work independently. As a Data Entry - Work From Home (Entry Level), you will be responsible for accurately inputting data into our system and maintaining the integrity of information. This role is vital in ensuring the smooth operation of our agriculture fishing & forestry organization.",£14.10/hr - £28.10/hr
